Nom du projet,Adresse du projet,Code postal,Nombre d'arbres,Saison de plantation,Type d'école,Nom de l'école,Geo_shape,Geo_point_2d,Moyenne du nombre d'arbres,Médiane du nombre d'arbres,Ecart type du nombre d'arbres,Minimum du nombre d'arbres,Maximum du nombre d'arbres,Moyenne du nombre d'arbres plantés pour les écoles maternelles,Moyenne du nombre d'arbres plantés pour les écoles élémentaires,Moyenne du nombre d'arbres plantés pour les écoles polyvalentes,Moyenne du nombre d'arbres plantés pour les écoles maternelles et crèches,Moyenne du nombre d'arbres plantés pour les centres de ressources d'éducation à l'env
VERGER EM KUSS (8),8 RUE KUSS,75013,9,2016 - 2017,Ecole maternelle,Ecole maternelle Kuss,"{""coordinates"": [2.3517406063205417, 48.82232773700827], ""type"": ""Point""}","48.82232773700827, 2.3517406063205417",,,,,,,,,,
VERGER EM MOUFFETARD (29),29 RUE MOUFFETARD,75005,4,2016 - 2017,Ecole maternelle,Ecole maternelle Mouffetard,"{""coordinates"": [2.349783662487916, 48.84390480255001], ""type"": ""Point""}","48.84390480255001, 2.349783662487916",,,,,,,,,,
VERGER EM ARMAND ROUSSEAU (13) - Phase 1,13 AVENUE ARMAND ROUSSEAU,75012,14,2016 - 2017,Ecole maternelle,Ecole maternelle Armand Rousseau,"{""coordinates"": [2.4088269879959237, 48.83661285844455], ""type"": ""Point""}","48.83661285844455, 2.4088269879959237",,,,,,,,,,
VERGER EM ARNOLD NETTER (42),42 AVENUE DU DOCTEUR ARNOLD NETTER,75012,6,2016 - 2017,Ecole maternelle,Ecole maternelle Arnold Netter,"{""coordinates"": [2.40577518894804, 48.84358994788445], ""type"": ""Point""}","48.84358994788445, 2.40577518894804",,,,,,,,,,
VERGER EM SERGE PROKOFIEV (18) - Phase 1,18 RUE SERGE PROKOFIEV,75016,12,2014 - 2015,Ecole maternelle,Ecole maternelle Serge Prokofiev,"{""coordinates"": [2.2676347991469736, 48.854406386286506], ""type"": ""Point""}","48.854406386286506, 2.2676347991469736",,,,,,,,,,
VERGER EM CAPITAINE LAGACHE (21),21 RUE DU CAPITAINE LAGACHE,75017,7,2016 - 2017,Ecole maternelle,Ecole maternelle Capitaine Lagache,"{""coordinates"": [2.3250671498776865, 48.89197850520626], ""type"": ""Point""}","48.89197850520626, 2.3250671498776865",,,,,,,,,,
VERGER EP LE VAU (8/10/20) - Phase 1,8/10/20 RUE LE VAU,75020,11,2014 - 2015,Ecole polyvalente,Ecole polyvalente Rue le Vau,"{""coordinates"": [2.411786041111169, 48.86708804697021], ""type"": ""Point""}","48.86708804697021, 2.411786041111169",,,,,,,,,,
VERGER EM EMILE ZOLA (35),35 AVENUE EMILE ZOLA,75015,2,2015 - 2016,Ecole maternelle,Ecole maternelle Emile Zola,"{""coordinates"": [2.2816882150234963, 48.84669055482579], ""type"": ""Point""}","48.84669055482579, 2.2816882150234963",,,,,,,,,,
VERGER EM ST DENIS (221),221 RUE ST DENIS,75002,10,2016 - 2017,Ecole maternelle,Ecole maternelle St Denis,"{""coordinates"": [2.350644887370942, 48.86708797283021], ""type"": ""Point""}","48.86708797283021, 2.350644887370942",,,,,,,,,,
VERGER EE FRANC NOHAIN (9),9 RUE FRANC NOHAIN,75013,12,2016 - 2017,Ecole élémentaire,Ecole élémentaire Nohain,"{""coordinates"": [2.374271945639546, 48.82114303899576], ""type"": ""Point""}","48.82114303899576, 2.374271945639546",,,,,,,,,,
