Nom du projet,Adresse du projet,Code postal,Nombre d'arbres,Saison de plantation,Type d'école,Nom de l'école,Geo_shape,Geo_point_2d,Moyenne du nombre d'arbres,Médiane du nombre d'arbres,Ecart type du nombre d'arbres,Minimum du nombre d'arbres,Maximum du nombre d'arbres,Moyenne du nombre d'arbres plantés pour les écoles maternelles,Moyenne du nombre d'arbres plantés pour les écoles élémentaires,Moyenne du nombre d'arbres plantés pour les écoles polyvalentes,Moyenne du nombre d'arbres plantés pour les écoles maternelles et crèches,Moyenne du nombre d'arbres plantés pour les centres de ressources d'éducation à l'env
VERGER EM GLACIERE (100),100 RUE DE LA GLACIERE,75013,1,2015 - 2016,Ecole maternelle,Ecole maternelle Glacière,"{""coordinates"": [2.3426472724068437, 48.82971345891027], ""type"": ""Point""}","48.82971345891027, 2.3426472724068437",7.979591837,7,4.587563102,1,23,972,456,128,5,3
VERGER EM BOULARD (23),23 RUE BOULARD,75014,10,2016 - 2017,Ecole maternelle,Ecole maternelle Boulard,"{""coordinates"": [2.3292157737573653, 48.83360729521529], ""type"": ""Point""}","48.83360729521529, 2.3292157737573653",,,,,,122,55,17,1,1
VERGER EM ESPERANCE (12),12 RUE DE L ESPERANCE,75013,6,2016 - 2017,Ecole maternelle,Ecole maternelle Esperence,"{""coordinates"": [2.34766906794403, 48.82683391721055], ""type"": ""Point""}","48.82683391721055, 2.34766906794403",,,,,,7.967213115,8.290909091,7.529411765,5,3
VERGER EE BOILEAU (17-23),17 RUE BOILEAU,75016,11,2016 - 2017,Ecole élémentaire,Ecole élémentaire Boileau,"{""coordinates"": [2.265350670263142, 48.84613525705825], ""type"": ""Point""}","48.84613525705825, 2.265350670263142",,,,,,,,,,
VERGER EM PERCHAMPS (38),38 RUE DES PERCHAMPS,75016,10,2016 - 2017,Ecole maternelle,Ecole maternelle Perchamps,"{""coordinates"": [2.268129628558828, 48.84900133347593], ""type"": ""Point""}","48.84900133347593, 2.268129628558828",,,,,,,,,,
VERGER EM CLOYS (41),41 RUE DES CLOYS,75018,9,2016 - 2017,Ecole maternelle,Ecole maternelle Cloys,"{""coordinates"": [2.3382507128085006, 48.892677178155594], ""type"": ""Point""}","48.892677178155594, 2.3382507128085006",,,,,,,,,,
VERGER EM JOSEPH DE MAISTRE (94) - Phase 2,94 RUE JOSEPH DE MAISTRE,75018,2,2017 - 2018,Ecole maternelle,Ecole maternelle Joseph de Maistre,"{""coordinates"": [2.3308648178827664, 48.893073851736396], ""type"": ""Point""}","48.893073851736396, 2.3308648178827664",,,,,,,,,,
VERGER EM ROCHECHOUART (22),22 RUE ROCHECHOUART,75009,19,2017 - 2018,Ecole maternelle,Ecole maternelle Rochechouart,"{""coordinates"": [2.3453595986538107, 48.87773314045093], ""type"": ""Point""}","48.87773314045093, 2.3453595986538107",,,,,,,,,,
VERGER EE PARC DES PRINCES (23),23 AVENUE DU PARC DES PRINCES,75016,20,2018 - 2019,Ecole élémentaire,Ecole élémentaire Parc des Princes,"{""coordinates"": [2.254863999715661, 48.84069274224852], ""type"": ""Point""}","48.84069274224852, 2.254863999715661",,,,,,,,,,
VERGER EM COLETTE MAGNY (21),21 RUE COLETTE MAGNY,75019,7,2018 - 2019,Ecole maternelle,Ecole maternelle Colette Magny,"{""coordinates"": [2.375267517995256, 48.89513483798648], ""type"": ""Point""}","48.89513483798648, 2.375267517995256",,,,,,,,,,
VERGER EM CAMBRAI (5 BIS),5 BIS RUE DE CAMBRAI,75019,11,2018 - 2019,Ecole élémentaire,Ecole élémentaire Cambrai,"{""coordinates"": [2.3781271317185233, 48.89511057269064], ""type"": ""Point""}","48.89511057269064, 2.3781271317185233",,,,,,,,,,
VERGER EM LEPAGE (11),11 CITE LEPAGE,75019,8,2019 - 2020,Ecole maternelle,Ecole maternelle Lepage,"{""coordinates"": [2.371721567265988, 48.88044818626531], ""type"": ""Point""}","48.88044818626531, 2.371721567265988",,,,,,,,,,
VERGER EE MARYSE HILSZ (20),20 RUE MARYSE HILSZ,75020,4,2015 - 2016,Ecole élémentaire,Ecole élémentaire Maryse Hilsz,"{""coordinates"": [2.4137901803944257, 48.8506744646685], ""type"": ""Point""}","48.8506744646685, 2.4137901803944257",,,,,,,,,,
VERGER EM JOSEPH DE MAISTRE (94) - Phase 1,94 RUE JOSEPH DE MAISTRE,75018,14,2015 - 2016,Ecole maternelle,Ecole maternelle Joseph de Maistre,"{""coordinates"": [2.330864690622496, 48.89307377818006], ""type"": ""Point""}","48.89307377818006, 2.330864690622496",,,,,,,,,,
VERGER EM SOUZY (5),5 CITE SOUZY,75011,8,2017 - 2018,Ecole maternelle,Ecole maternelle Souzy,"{""coordinates"": [2.3883530548886673, 48.851567468438176], ""type"": ""Point""}","48.851567468438176, 2.3883530548886673",,,,,,,,,,
VERGER EM OUEST (13),13 RUE DE L OUEST,75014,9,2017 - 2018,Ecole maternelle,Ecole maternelle Ouest,"{""coordinates"": [2.3220174379854046, 48.836980934865615], ""type"": ""Point""}","48.836980934865615, 2.3220174379854046",,,,,,,,,,
VERGER EM CARPEAUX (5-7),5 RUE CARPEAUX,75018,7,2017 - 2018,Ecole maternelle,Ecole maternelle Carpeaux,"{""coordinates"": [2.3297861712957415, 48.8905135920128], ""type"": ""Point""}","48.8905135920128, 2.3297861712957415",,,,,,,,,,
VERGER EE ROUELLE (25),25 RUE ROUELLE,75015,19,2018 - 2019,Ecole élémentaire,Ecole élémentaire Rouelle,"{""coordinates"": [2.2877096962656194, 48.850501708832205], ""type"": ""Point""}","48.850501708832205, 2.2877096962656194",,,,,,,,,,
VERGER EE CHERBOURG (15),15 RUE DE CHERBOURG,75015,15,2018 - 2019,Ecole élémentaire,Ecole élémentaire Cherbourg,"{""coordinates"": [2.304385224045348, 48.831093945791174], ""type"": ""Point""}","48.831093945791174, 2.304385224045348",,,,,,,,,,
VERGER EM CHARLES HERMITE (2),2 RUE CHARLES HERMITE,75018,10,2018 - 2019,Ecole maternelle,Ecole maternelle Charles Hermite,"{""coordinates"": [2.3697332307237025, 48.90011783193021], ""type"": ""Point""}","48.90011783193021, 2.3697332307237025",,,,,,,,,,
VERGER EE VIGEE LEBRUN (17),17 RUE VIGEE LEBRUN,75015,2,2019 - 2020,Ecole élémentaire,Ecole élémentaire Vigée Lebrun,"{""coordinates"": [2.311160714426522, 48.83902118681716], ""type"": ""Point""}","48.83902118681716, 2.311160714426522",,,,,,,,,,
VERGER EE LAMORICIERE (8/10),8-10 AVENUE LAMORICIERE,75012,6,2019 - 2020,Ecole élémentaire,Ecole élémentaire Lamoricière,"{""coordinates"": [2.4126189875438113, 48.844948929860365], ""type"": ""Point""}","48.844948929860365, 2.4126189875438113",,,,,,,,,,
VERGER EM JEAN DOLENT (11),11 RUE JEAN DOLENT,75014,4,2015 - 2016,Ecole maternelle,Ecole maternelle Jean Dolent,"{""coordinates"": [2.3398049008835464, 48.833176236600934], ""type"": ""Point""}","48.833176236600934, 2.3398049008835464",,,,,,,,,,
VERGER EM POINTE D'IVRY (17-35),35 RUE DE LA POINTE D IVRY,75013,4,2015 - 2016,Ecole maternelle,Ecole maternelle Pointe d'Ivry,"{""coordinates"": [2.364224665504206, 48.82229004249962], ""type"": ""Point""}","48.82229004249962, 2.364224665504206",,,,,,,,,,
VERGER EM ARISTIDE MAILLOL (15),15 RUE ARISTIDE MAILLOL,75015,2,2015 - 2016,Ecole maternelle,Ecole maternelle Maillol,"{""coordinates"": [2.3124138030468724, 48.838085947819685], ""type"": ""Point""}","48.838085947819685, 2.3124138030468724",,,,,,,,,,
VERGER EM TOURTILLE (39),39 RUE DE TOURTILLE,75020,6,2018 - 2019,Ecole maternelle,Ecole maternelle Tourtille,"{""coordinates"": [2.3804721871890617, 48.87184112406817], ""type"": ""Point""}","48.87184112406817, 2.3804721871890617",,,,,,,,,,
VERGER EM MADEMOISELLE (83),83 RUE MADEMOISELLE,75015,3,2016 - 2017,Ecole maternelle,Ecole maternelle Mademoiselle,"{""coordinates"": [2.30056018820279, 48.84441959168429], ""type"": ""Point""}","48.84441959168429, 2.30056018820279",,,,,,,,,,
VERGER EE PICPUS A (56),56 RUE DE PICPUS,75012,10,2015 - 2016,Ecole élémentaire,Ecole élémentaire de Picpus,"{""coordinates"": [2.3945533235347183, 48.84244129681335], ""type"": ""Point""}","48.84244129681335, 2.3945533235347183",,,,,,,,,,
VERGER EM MAROC (34),34 RUE DU MAROC,75019,5,2016 - 2017,Ecole maternelle,Ecole maternelle Rue du Maroc,"{""coordinates"": [2.3683203841011427, 48.88736889423816], ""type"": ""Point""}","48.88736889423816, 2.3683203841011427",,,,,,,,,,
VERGER EM RUE DES BOIS (2),2 RUE DES BOIS,75019,10,2014 - 2015,Ecole maternelle,Ecole maternelle Rue des Bois,"{""coordinates"": [2.39618471703819, 48.87748877917345], ""type"": ""Point""}","48.87748877917345, 2.39618471703819",,,,,,,,,,
VERGER EM COURONNES (94),94 RUE DES COURONNES,75020,5,2016 - 2017,Ecole maternelle,Ecole maternelle Couronnes,"{""coordinates"": [2.3874257721956975, 48.87009786197966], ""type"": ""Point""}","48.87009786197966, 2.3874257721956975",,,,,,,,,,
VERGER EM BIDASSOA (21),21 RUE DE LA BIDASSOA,75020,5,2017 - 2018,Ecole maternelle,Ecole maternelle Bidassoa,"{""coordinates"": [2.3937712463309126, 48.86585346320003], ""type"": ""Point""}","48.86585346320003, 2.3937712463309126",,,,,,,,,,
VERGER EP CHAMPAGNE (17),17 CITE CHAMPAGNE,75020,6,2017 - 2018,Ecole polyvalente,Ecole polyvalente Champagne,"{""coordinates"": [2.4041887987306745, 48.853115779485606], ""type"": ""Point""}","48.853115779485606, 2.4041887987306745",,,,,,,,,,
VERGER EM CHRISTINE DE PISAN (24),24 RUE CHRISTINE DE PISAN,75017,11,2017 - 2018,Ecole maternelle,Ecole maternelle Christine de Pisan,"{""coordinates"": [2.3084291922027806, 48.89012001179788], ""type"": ""Point""}","48.89012001179788, 2.3084291922027806",,,,,,,,,,
VERGER EM RUE EMILE DUPLOYE (27),27 RUE EMILE DUPLOYE,75018,4,2018 - 2019,Ecole maternelle,Ecole maternelle Emile Duployé,"{""coordinates"": [2.3548673205519064, 48.88987575638017], ""type"": ""Point""}","48.88987575638017, 2.3548673205519064",,,,,,,,,,
VERGER EM LOUIS VIERNE (6),6 RUE LOUIS VIERNE,75017,6,2019 - 2020,Ecole maternelle,Ecole maternelle Louis Vierne,"{""coordinates"": [2.29000015027801, 48.88789839249508], ""type"": ""Point""}","48.88789839249508, 2.29000015027801",,,,,,,,,,
VERGER EE JEANNE D'ARC (33),33 RUE JEANNE D'ARC,75013,2,2019 - 2020,Ecole élémentaire,Ecole élémentaire Jeanne d'Arc,"{""coordinates"": [2.3672399346756556, 48.8295882872164], ""type"": ""Point""}","48.8295882872164, 2.3672399346756556",,,,,,,,,,
VERGER EE MAURICE D'OCAGNE (7),7 AVENUE  MAURICE D'OCAGNE,75014,20,2014 - 2015,Ecole élémentaire,Ecole élémentaire Maurice d'Ocagne,"{""coordinates"": [2.3123711610486235, 48.823616132625304], ""type"": ""Point""}","48.823616132625304, 2.3123711610486235",,,,,,,,,,
VERGER EE MARE (42),42 RUE DE LA MARE,75020,7,2016 - 2017,Ecole élémentaire,Ecole élémentaire de la Mare,"{""coordinates"": [2.3904551201260418, 48.87101220587155], ""type"": ""Point""}","48.87101220587155, 2.3904551201260418",,,,,,,,,,
VERGER EM PIERRE FONCIN (2),2 RUE PIERRE FONCIN,75020,7,2016 - 2017,Ecole maternelle,Ecole maternelle Pierre Roncin,"{""coordinates"": [2.409279675224769, 48.87105256836368], ""type"": ""Point""}","48.87105256836368, 2.409279675224769",,,,,,,,,,
VERGER EM VERSAILLES (141),141 AVENUE DE VERSAILLES,75016,11,2016 - 2017,Ecole maternelle,Ecole maternelle Avenue de Versailles,"{""coordinates"": [2.2686191008828254, 48.84193349345913], ""type"": ""Point""}","48.84193349345913, 2.2686191008828254",,,,,,,,,,
VERGER EE BRUXELLES (32),32 RUE DE BRUXELLES,75009,19,2016 - 2017,Ecole élémentaire,Ecole élémentaire Bruxelles,"{""coordinates"": [2.3286829696508393, 48.883343472110674], ""type"": ""Point""}","48.883343472110674, 2.3286829696508393",,,,,,,,,,
VERGER EM BRILLAT SAVARIN (87),87 RUE BRILLAT SAVARIN,75013,6,2016 - 2017,Ecole maternelle,Ecole maternelle Savarin,"{""coordinates"": [2.3424166758764495, 48.824347406718736], ""type"": ""Point""}","48.824347406718736, 2.3424166758764495",,,,,,,,,,
VERGER EP GILBERT CESBRON (1),10 RUE GILBERT CESBRON,75017,8,2016 - 2017,Ecole polyvalente,Ecole polyvalente Cesbron,"{""coordinates"": [2.314221751883782, 48.89304453025877], ""type"": ""Point""}","48.89304453025877, 2.314221751883782",,,,,,,,,,
VERGER EE CHAT.RENTIERS (40),40 RUE DU CHATEAU DES RENTIERS,75013,1,2016 - 2017,Ecole élémentaire,Ecole élémentaire Chateau des Rentiers,"{""coordinates"": [2.3705958310903914, 48.8250900535756], ""type"": ""Point""}","48.8250900535756, 2.3705958310903914",,,,,,,,,,
VERGER EM FEDERATION (18),18 RUE DE LA FEDERATION,75015,11,2016 - 2017,Ecole maternelle,Ecole maternelle Fédération,"{""coordinates"": [2.2907013041047044, 48.85395823558434], ""type"": ""Point""}","48.85395823558434, 2.2907013041047044",,,,,,,,,,
VERGER EE CHABROL (41),41 RUE DE CHABROL,75010,9,2016 - 2017,Ecole élémentaire,Ecole élémentaire Chabrol,"{""coordinates"": [2.3529511349138366, 48.876501673680195], ""type"": ""Point""}","48.876501673680195, 2.3529511349138366",,,,,,,,,,
VERGER EM RECOLLETS (23) - Phase 2,23 PASSAGE DES RECOLLETS,75010,10,2017 - 2018,Ecole maternelle,Ecole maternelle Recollets,"{""coordinates"": [2.360128296844589, 48.874638220667414], ""type"": ""Point""}","48.874638220667414, 2.360128296844589",,,,,,,,,,
VERGER EM TANGER (41),41 RUE DE TANGER,75019,15,2017 - 2018,Ecole maternelle,Ecole maternelle Tanger,"{""coordinates"": [2.369113217050282, 48.8882380559867], ""type"": ""Point""}","48.8882380559867, 2.369113217050282",,,,,,,,,,
VERGER EM JONGKIND (3),3 RUE JONGKIND,75015,3,2014 - 2015,Ecole maternelle,Ecole maternelle Jongkind,"{""coordinates"": [2.27980015879951, 48.83937025730483], ""type"": ""Point""}","48.83937025730483, 2.27980015879951",,,,,,,,,,
VERGER EM PREVOYANCE (29),29 RUE DE LA PREVOYANCE,75019,11,2019 - 2020,Ecole maternelle,Ecole maternelle Prévoyance,"{""coordinates"": [2.3942151315344002, 48.88369078202425], ""type"": ""Point""}","48.88369078202425, 2.3942151315344002",,,,,,,,,,
VERGER EE ROLLIN (10),10 RUE ROLLIN,75005,5,2015 - 2016,Ecole élémentaire,Ecole élémentaire Rollin,"{""coordinates"": [2.35086166316327, 48.84497532589669], ""type"": ""Point""}","48.84497532589669, 2.35086166316327",,,,,,,,,,
VERGER EM LAHIRE (13) - Phase 1,13 RUE LAHIRE,75013,6,2016 - 2017,Ecole maternelle,Ecole maternelle Lahire,"{""coordinates"": [2.36687914388527, 48.829347962473626], ""type"": ""Point""}","48.829347962473626, 2.36687914388527",,,,,,,,,,
VERGER EM SIMONE WEIL (5),5 RUE SIMONE WEIL,75013,7,2016 - 2017,Ecole maternelle,Ecole maternelle Simone Weil,"{""coordinates"": [2.3645960833776267, 48.82333830175596], ""type"": ""Point""}","48.82333830175596, 2.3645960833776267",,,,,,,,,,
VERGER EM TAPISSERIES (8),8 RUE DES TAPISSERIES,75017,13,2015 - 2016,Ecole maternelle,Ecole maternelle Tapisseries,"{""coordinates"": [2.3079389149719858, 48.88843287300067], ""type"": ""Point""}","48.88843287300067, 2.3079389149719858",,,,,,,,,,
VERGER EE FALGUIERE (20),20 RUE FALGUIERE,75015,3,2015 - 2016,Ecole élémentaire,Ecole élémentaire Falguiere,"{""coordinates"": [2.316423185385986, 48.8432305958731], ""type"": ""Point""}","48.8432305958731, 2.316423185385986",,,,,,,,,,
VERGER EM ANTOINE CHANTIN (15),15 RUE ANTOINE CHANTIN,75014,3,2015 - 2016,Ecole maternelle,Ecole maternelle Chantin,"{""coordinates"": [2.3219248416009224, 48.826816175409114], ""type"": ""Point""}","48.826816175409114, 2.3219248416009224",,,,,,,,,,
VERGER EM FRANCOIS COPPEE (10),10 RUE FRANCOIS COPPEE,75015,1,2015 - 2016,Ecole maternelle,Ecole maternelle François Coppee,"{""coordinates"": [2.287428773645983, 48.83972946116728], ""type"": ""Point""}","48.83972946116728, 2.287428773645983",,,,,,,,,,
VERGER EE ST BENOIT (12),12 RUE SAINT BENOIT,75006,6,2017 - 2018,Ecole élémentaire,Ecole élémentaire St Benoit,"{""coordinates"": [2.3326616080451714, 48.85525229980298], ""type"": ""Point""}","48.85525229980298, 2.3326616080451714",,,,,,,,,,
VERGER EM LAHIRE (13) - Phase 2,13 RUE LAHIRE,75013,18,2017 - 2018,Ecole maternelle,Ecole maternelle Lahire,"{""coordinates"": [2.36687914388527, 48.829347962473626], ""type"": ""Point""}","48.829347962473626, 2.36687914388527",,,,,,,,,,
VERGER EE CHARENTON (315),315 RUE DE CHARENTON,75012,9,2018 - 2019,Ecole élémentaire,Ecole élémentaire Charenton,"{""coordinates"": [2.395717986055484, 48.83362414448281], ""type"": ""Point""}","48.83362414448281, 2.395717986055484",,,,,,,,,,
VERGER EE CHATEAU DES RENTIERS (173),173 RUE DU CHATEAU DES RENTIERS,75013,8,2018 - 2019,Ecole élémentaire,Ecole élémentaire Château des Rentiers,"{""coordinates"": [2.361498836046331, 48.830184895790886], ""type"": ""Point""}","48.830184895790886, 2.361498836046331",,,,,,,,,,
VERGER EE OLIVIER DE SERRES (27),27 RUE OLIVIER DE SERRES,75015,2,2015 - 2016,Ecole élémentaire,Ecole élémentaire Olivier de Serres,"{""coordinates"": [2.2973848441911913, 48.835599614851496], ""type"": ""Point""}","48.835599614851496, 2.2973848441911913",,,,,,,,,,
VERGER EM TANGER (15),15 RUE DE TANGER,75019,5,2016 - 2017,Ecole maternelle,Ecole maternelle Tanger,"{""coordinates"": [2.367494668743539, 48.885386325785994], ""type"": ""Point""}","48.885386325785994, 2.367494668743539",,,,,,,,,,
VERGER EM VAUVENARGUES (52),52 RUE VAUVENARGUES,75018,8,2016 - 2017,Ecole maternelle,Ecole maternelle Vauvenargues,"{""coordinates"": [2.3317495464890894, 48.89560253254757], ""type"": ""Point""}","48.89560253254757, 2.3317495464890894",,,,,,,,,,
VERGER EM FAUCONNIER (4),4 RUE DU FAUCONNIER,75004,8,2015 - 2016,Ecole maternelle,Ecole maternelle Fauconnier,"{""coordinates"": [2.359914973940246, 48.853534513032834], ""type"": ""Point""}","48.853534513032834, 2.359914973940246",,,,,,,,,,
VERGER EP TOURELLES (9),5 RUE DES TOURELLES,75020,12,2015 - 2016,Ecole polyvalente,Ecole polyvalente des Tourelles,"{""coordinates"": [2.403882652245734, 48.874881415184674], ""type"": ""Point""}","48.874881415184674, 2.403882652245734",,,,,,,,,,
VERGER EM GUSTAVE ZEDE (5),5 RUE GUSTAVE ZEDE,75016,10,2017 - 2018,Ecole maternelle,Ecole maternelle Gustave Zédé,"{""coordinates"": [2.2731476336536165, 48.85576064775125], ""type"": ""Point""}","48.85576064775125, 2.2731476336536165",,,,,,,,,,
VERGER EM BOUVINES (6),6 AVENUE DE BOUVINES,75011,9,2017 - 2018,Ecole maternelle,Ecole maternelle Bouvines,"{""coordinates"": [2.3967950895827994, 48.85031570022108], ""type"": ""Point""}","48.85031570022108, 2.3967950895827994",,,,,,,,,,
VERGER EM ST ANGE (14),14 PASSAGE SAINT ANGE,75017,14,2017 - 2018,Ecole maternelle,Ecole maternelle St Ange,"{""coordinates"": [2.327525170096439, 48.896682174636176], ""type"": ""Point""}","48.896682174636176, 2.327525170096439",,,,,,,,,,
VERGER EM LACORDAIRE (5) - Phase 2,5 RUE LACORDAIRE,75015,3,2017 - 2018,Ecole maternelle,Ecole maternelle Lacordaire,"{""coordinates"": [2.284988385950659, 48.843572462765444], ""type"": ""Point""}","48.843572462765444, 2.284988385950659",,,,,,,,,,
VERGER EM RICAUT (8),8 RUE RICAUT,75013,12,2018 - 2019,Ecole maternelle,Ecole maternelle Ricaut,"{""coordinates"": [2.361053569947397, 48.829884177315556], ""type"": ""Point""}","48.829884177315556, 2.361053569947397",,,,,,,,,,
VERGER EE IVRY B (47),47 AVENUE D IVRY,75013,10,2018 - 2019,Ecole élémentaire,Ecole élémentaire B Ivry,"{""coordinates"": [2.365917122183021, 48.82284539881233], ""type"": ""Point""}","48.82284539881233, 2.365917122183021",,,,,,,,,,
VERGER EE ETIENNE DOLET (31),31 RUE ETIENNE DOLET,75020,4,2018 - 2019,Ecole élémentaire,Ecole élémentaire Etienne Dolet,"{""coordinates"": [2.3852577373613695, 48.86840488146711], ""type"": ""Point""}","48.86840488146711, 2.3852577373613695",,,,,,,,,,
VERGER EE LONGCHAMP (130),130 RUE DE LONGCHAMP,75016,6,2019 - 2020,Ecole élémentaire,Ecole élémentaire Longchamp,"{""coordinates"": [2.2788125548728653, 48.86767281289511], ""type"": ""Point""}","48.86767281289511, 2.2788125548728653",,,,,,,,,,
VERGER EM JEAN MENANS (2),2 RUE JEAN MENANS,75019,18,2015 - 2016,Ecole maternelle,Ecole maternelle Jean Menans,"{""coordinates"": [2.3787380735414554, 48.880798089460896], ""type"": ""Point""}","48.880798089460896, 2.3787380735414554",,,,,,,,,,
VERGER EM PELLEPORT (99),99 RUE PELLEPORT,75020,12,2016 - 2017,Ecole maternelle,Ecole maternelle Pelleport,"{""coordinates"": [2.399159996901822, 48.870133161641895], ""type"": ""Point""}","48.870133161641895, 2.399159996901822",,,,,,,,,,
VERGER EM MERLIN (14),14 RUE MERLIN,75011,17,2016 - 2017,Ecole maternelle,Ecole maternelle Merlin,"{""coordinates"": [2.385987997002308, 48.860194130540904], ""type"": ""Point""}","48.860194130540904, 2.385987997002308",,,,,,,,,,
VERGER EM BESSIERES (90),90 BOULEVARD BESSIERES,75017,21,2015 - 2016,Ecole maternelle,Ecole maternelle Bessières,"{""coordinates"": [2.319461899773711, 48.897296345337665], ""type"": ""Point""}","48.897296345337665, 2.319461899773711",,,,,,,,,,
VERGER EP MAURICE GENEVOIX (3),3 RUE MAURICE GENEVOIX,75018,6,2018 - 2019,Ecole polyvalente,Ecole polyvalente Maurice Genevoix,"{""coordinates"": [2.360666062298615, 48.89430913967821], ""type"": ""Point""}","48.89430913967821, 2.360666062298615",,,,,,,,,,
VERGER EM GEORGES THILL (11),11 RUE GEORGES THILL,75019,8,2018 - 2019,Ecole maternelle,Ecole maternelle Georges Thill,"{""coordinates"": [2.38862744269991, 48.88686425997395], ""type"": ""Point""}","48.88686425997395, 2.38862744269991",,,,,,,,,,
VERGER EE MICHEL ANGE (51),51 RUE MICHEL ANGE,75016,10,2015 - 2016,Ecole élémentaire,Ecole élémentaire Michel Ange,"{""coordinates"": [2.2612960923203365, 48.843915296946165], ""type"": ""Point""}","48.843915296946165, 2.2612960923203365",,,,,,,,,,
VERGER EM LONGUES RAIES (29),29 RUE DES LONGUES RAIES,75013,10,2016 - 2017,Ecole maternelle,Ecole maternelle Rue des longues Raies,"{""coordinates"": [2.347554596761625, 48.820712348872725], ""type"": ""Point""}","48.820712348872725, 2.347554596761625",,,,,,,,,,
VERGER EM PATAY (20),20 RUE DE PATAY,75013,8,2016 - 2017,Ecole maternelle,Ecole maternelle Patay,"{""coordinates"": [2.376210675020153, 48.82524707510695], ""type"": ""Point""}","48.82524707510695, 2.376210675020153",,,,,,,,,,
VERGER EM TURENNE (52),52 RUE DE TURENNE,75003,6,2015 - 2016,Ecole maternelle,Ecole maternelle Turenne,"{""coordinates"": [2.36508963101455, 48.85838869073925], ""type"": ""Point""}","48.85838869073925, 2.36508963101455",,,,,,,,,,
VERGER EE BRECHE AUX LOUPS (18),18 RUE DE LA BRECHE AUX LOUPS,75012,7,2014 - 2015,Ecole élémentaire,Ecole élémentaire de la Breche aux loups,"{""coordinates"": [2.3941104386923833, 48.83706360629931], ""type"": ""Point""}","48.83706360629931, 2.3941104386923833",,,,,,,,,,
VERGER EM AUGUSTE PERRET (11),11 RUE AUGUSTE PERRET,75013,3,2017 - 2018,Ecole maternelle,Ecole maternelle Auguste Perret,"{""coordinates"": [2.359624495996012, 48.824369333732456], ""type"": ""Point""}","48.824369333732456, 2.359624495996012",,,,,,,,,,
VERGER EM MORILLONS (40),40 RUE DES MORILLONS,75015,9,2019 - 2020,Ecole maternelle,Ecole maternelle Morillons,"{""coordinates"": [2.3015288210996485, 48.83211422520364], ""type"": ""Point""}","48.83211422520364, 2.3015288210996485",,,,,,,,,,
VERGER EM POULLETIER (18),20 RUE POULLETIER,75004,7,2016 - 2017,Ecole maternelle,Ecole maternelle Poulletier,"{""coordinates"": [2.3585433111841816, 48.851526775186585], ""type"": ""Point""}","48.851526775186585, 2.3585433111841816",,,,,,,,,,
VERGER EM LACORDAIRE (5) - Phase 1,5 RUE LACORDAIRE,75015,4,2016 - 2017,Ecole maternelle,Ecole maternelle Lacordaire,"{""coordinates"": [2.284988385950659, 48.843572462765444], ""type"": ""Point""}","48.843572462765444, 2.284988385950659",,,,,,,,,,
VERGER EM CENDRIERS (20),20 RUE DES CENDRIERS,75020,5,2016 - 2017,Ecole maternelle,Ecole maternelle Rue des Cendriers,"{""coordinates"": [2.3869763137983044, 48.86537670144922], ""type"": ""Point""}","48.86537670144922, 2.3869763137983044",,,,,,,,,,
VERGER EM FONTARABIE (12),12 RUE DE FONTARABIE,75020,3,2015 - 2016,Ecole maternelle,Ecole maternelle Fontarabie,"{""coordinates"": [2.40058649364381, 48.85732176419865], ""type"": ""Point""}","48.85732176419865, 2.40058649364381",,,,,,,,,,
VERGER EM SARRETTE (34),34 RUE SARRETTE,75014,3,2017 - 2018,Ecole maternelle,Ecole maternelle Sarrette,"{""coordinates"": [2.3279700260985248, 48.82599601130517], ""type"": ""Point""}","48.82599601130517, 2.3279700260985248",,,,,,,,,,
VERGER EE ST-CHARLES (197),197 RUE SAINT-CHARLES,75015,3,2019 - 2020,Ecole élémentaire,Ecole élémentaire Saint-Charles,"{""coordinates"": [2.2804397334011575, 48.840164183780786], ""type"": ""Point""}","48.840164183780786, 2.2804397334011575",,,,,,,,,,
VERGER EM JACQUIER (23),23 RUE JACQUIER,75014,4,2019 - 2020,Ecole maternelle,Ecole maternelle Jacquier,"{""coordinates"": [2.3170990927262043, 48.82967248243433], ""type"": ""Point""}","48.82967248243433, 2.3170990927262043",,,,,,,,,,
VERGER EM GUTENBERG (72),72 RUE GUTENBERG,75015,5,2018 - 2019,Ecole maternelle,Ecole maternelle Guttenberg,"{""coordinates"": [2.278371654677083, 48.84140622185453], ""type"": ""Point""}","48.84140622185453, 2.278371654677083",,,,,,,,,,
VERGER EM OLIVIER DE SERRES (34),34 RUE OLIVIER DE SERRES,75015,2,2015 - 2016,Ecole polyvalente,Ecole polyvalente Olivier de Serres,"{""coordinates"": [2.2961450565792045, 48.83554837240982], ""type"": ""Point""}","48.83554837240982, 2.2961450565792045",,,,,,,,,,
VERGER EM BALARD (95),95 RUE BALARD,75015,3,2016 - 2017,Ecole maternelle,Ecole maternelle Balard,"{""coordinates"": [2.2788945788482646, 48.83785188096567], ""type"": ""Point""}","48.83785188096567, 2.2788945788482646",,,,,,,,,,
VERGER EP FRERES VOISIN  (3) - Phase 1,3 BOULEVARD DES FRERES VOISIN,75015,5,2014 - 2015,Ecole polyvalente,Ecole polyvalente des freres Voisin,"{""coordinates"": [2.268111052276446, 48.828883406395974], ""type"": ""Point""}","48.828883406395974, 2.268111052276446",,,,,,,,,,
